478,100
483,325
484,350
1106,375
488,680
490,744
479,2000
480,2005
481,2160
485,5020
486,5320
1108,8125
491,8525
492,8530
482,2mp
1107,5of
487,5year
489,700w
495,abound
217,absolut
497,absolutel
305,access
498,accessori
499,accessoryon
500,accompani
1109,accord
501,activ
218,actual
219,addit
505,address
506,adhes
507,advertis
308,advis
508,aggrav
220,ago
1110,alarm
1111,allot
509,allow
221,almost
510,alon
511,along
512,alot
44,also
513,although
514,aluminum
309,alway
86,amazon
515,amp
1112,angel
517,angl
311,anoth
518,answer
519,antena
520,antiglar
174,anyon
222,anyth
521,anyway
1114,anywher
522,apart
1115,appar
223,appear
1116,applifi
524,appoint
224,area
1117,argu
525,armband
225,around
175,arriv
1118,asia
312,ask
526,aspect
527,assum
528,atleast
529,attack
137,audio
1120,autoansw
226,avoid
534,away
316,background
1122,backlight
138,bar
538,basement
10,batteri
1124,be3
539,beat
540,beep
541,behe
1126,believ
542,bell
228,belt
1127,bend
543,beth
545,biggest
546,bill
547,bitpim
106,black
548,blackberri
1128,blacktop
549,bland
550,blew
551,blueant
552,bluetoooth
33,bluetooth
553,bluetoothmotorola
1129,bmw
320,book
555,boot
1130,bose
1132,bottowm
41,bought
556,bougth
557,boy
322,brand
561,brokeni
563,browser
564,bt250v
1133,bt50
1134,bubbl
1135,buck
565,build
566,built
568,bumper
77,button
1137,buyerb
1138,ca42
323,cabl
1139,calendar
60,camera
572,canal
573,cancel
179,cant
1141,capac
574,card
575,carrier
15,case
576,cassett
578,catch
579,cbr
580,cds
327,cellphon
1142,cellular
1143,center
229,certain
582,chang
1144,channel
583,chargelif
30,charger
1145,check
587,china
588,chines
231,choic
589,christma
1146,cingulair
590,cingularatt
592,click
107,clip
1149,clock
593,colleagu
140,color
594,combin
108,come
595,comment
596,commerci
232,communic
1150,commut
109,compani
599,competitor
233,complet
600,comput
110,connect
180,construct
603,consum
111,contact
604,continu
1158,contract
1159,control
605,contstruct
234,convers
1160,copier
609,cord
1162,counter
181,coupl
611,coupon
612,cours
333,coverag
335,current
620,curv
623,cutout
624,d807
625,d807wrong
1167,darn
182,data
626,date
62,day
235,deal
237,decis
629,deffinit
631,deliveri
632,describ
633,descript
141,design
634,destin
636,detach
637,detail
1170,develop
63,devic
638,dial
238,differ
639,direct
338,display
1175,dispos
648,dit
1176,divis
649,dna
1177,dock
650,dollar
339,done
1178,doubl
340,download
651,dozen
184,drain
341,drive
653,drivng
1179,droid
1180,due
655,e715
16,ear
239,earbud
657,eargel
658,earlier
659,earpad
342,earphon
343,earpiec
660,earset
1183,eas
1184,edg
346,effect
661,effort
186,either
662,electron
1185,eleg
664,elsewher
347,embarrass
1187,embed
92,end
665,engin
666,enter
668,entir
1190,env
1191,equip
1192,era
669,ericson
1194,ericsson
240,especi
349,etc
1195,europ
65,even
670,eventu
37,ever
187,everi
671,everyday
241,everyon
80,everyth
1196,everywher
351,exchang
1198,exclaim
1200,exercis
674,exist
354,experi
355,experienc
675,explain
1201,extend
676,exterior
677,extern
678,eye
357,face
1203,facepl
679,fact
680,factor
360,famili
81,far
682,father
143,featur
1205,fee
114,feel
362,feet
363,felt
364,figur
684,file
243,final
144,find
685,finger
1206,finish
686,fire
687,firstperson
1207,five
1208,fix
365,flash
369,flip
1209,flipphon
688,fliptop
689,floor
1213,follow
692,forev
370,forget
1215,forgot
244,form
371,found
694,four
695,fourth
696,fraction
700,frequently4
701,frequentyli
702,frog
373,front
190,function
374,game
709,gave
711,general
11,get
1223,girl
246,give
1224,given
714,glass
1225,glove
715,glu
1226,goesth
1227,gonna
1229,gosh
93,got
717,gotten
720,grey
1231,grip
721,grtting
722,guess
1232,gx2
723,h500
724,hair
191,hand
725,handheld
726,handset
377,happen
727,hat
1233,haul
,head
728,headband
192,headphon
70,hear
145,help
1236,hey
730,hing
1238,hitch
117,hold
731,holder
1239,holster
732,home
733,hook
379,hope
249,hour
735,hoursth
736,hous
118,howev
737,howeverth
738,hs850
740,human
741,hundr
742,hybrid
745,idea
380,igo
748,imac
1242,imag
749,imagin
1243,immedi
193,import
1246,inch
750,includ
751,incom
1247,increas
1248,indoor
1249,industri
757,inform
758,infra
760,insert
761,insid
383,instal
1250,instanc
762,instead
194,instruct
763,integr
764,intend
1252,interfac
384,internet
766,internetto
768,invest
385,iphon
386,ipod
769,irda
770,iriv
55,item
1254,itmi
120,jabra
772,jabra350
773,jack
387,jawbon
774,jiggl
147,job
43,just
777,jx10
149,keep
389,kept
778,key
779,keyboard
780,keypad
1256,kindl
782,kit
1257,kitchen
1258,knock
150,know
1259,krussel
783,l7c
1260,landlin
1261,lap
1262,laptop
391,later
1265,latest
1267,leaf
785,leak
786,learn
392,least
393,leather
1268,left
1269,lens
787,leopard
195,less
788,lesson
251,let
121,life
94,light
252,line
1270,lineanoth
395,link
1271,linksi
789,listen
791,liter
253,littl
1272,live
792,load
254,lock
396,logitech
95,long
255,longer
1273,longwear
793,loop
1274,los
122,lot
797,loudspeak
123,low
1275,machin
82,made
801,magnet
1276,mail
1277,main
802,major
24,make
1278,manag
803,managementoh
256,mani
804,manual
805,manufactur
806,mark
807,market
1279,match
1280,materi
808,max
809,may
811,mechan
812,media
814,mega
1281,megapixel
815,memori
1282,mention
816,menus
401,messag
1283,metal
1284,meth
818,metro
258,mic
819,microphon
820,microsoft
402,might
1285,mind
822,mine
